Node,tbc
1,0.000799433
2,0.000170566
3,3.41E-05
4,9.59E-05
5,1.82E-05
6,0.000241545
7,0.000989782
8,2.08E-06
9,0.000424122
10,0.001711408
11,6.35E-05
12,1.69E-05
13,2.37E-06
14,0
15,6.60E-05
16,0.000316338
17,2.08E-06
18,0.000141722
19,1.78E-06
20,0.002033996
21,1.59E-05
22,3.29E-05
23,0
24,8.90E-06
25,8.55E-06
26,8.90E-06
27,1.19E-06
28,1.96E-05
29,7.12E-06
30,0.000756563
31,3.31E-06
32,0
33,0
34,0
35,0
36,0
37,0.000227523
38,3.14E-06
39,9.85E-06
40,0.000215998
41,4.35E-06
42,0
43,0.000153936
44,1.16E-05
45,0.000117235
46,0.000783542
47,0
48,0.00020369
49,5.25E-05
50,0.000308404
51,4.15E-06
52,1.67E-06
53,0.000481367
54,0.000119273
55,2.87E-05
56,0
57,1.63E-05
58,3.56E-06
59,0.000147551
60,4.75E-06
61,0
62,0
63,0
64,0
65,2.08E-06
66,2.19E-05
67,4.04E-05
68,0.000253244
69,0
70,2.37E-06
71,1.29E-05
72,7.68E-05
73,0.000340461
74,0.000206584
75,0.000367759
76,0.001282419
77,0.000139982
78,7.05E-05
79,7.92E-05
80,0
81,0
82,7.34E-05
83,0
84,0
85,0.00025748
86,3.63E-06
87,2.08E-05
88,1.27E-05
89,3.56E-06
90,0
91,0
92,2.24E-06
93,2.40E-05
94,0
95,0
96,0
97,0.000383961
98,0.00076519
99,0
100,0.00018144
101,0
102,0.000445672
103,0
104,0
105,0
106,8.31E-06
107,8.77E-05
108,0
109,1.13E-06
110,0
111,0.000185559
112,0.000132614
113,5.93E-06
114,0.000121083
115,0
116,0.001317564
117,1.27E-06
118,0.000140857
119,0
120,8.58E-05
121,9.56E-10
122,2.61E-05
123,0.000105731
124,0.000154844
125,0
126,0
127,6.00E-05
128,0.000183205
129,0
130,3.77E-05
131,0
132,1.23E-05
133,5.06E-07
134,9.88E-05
135,0.000381017
136,0.000314539
137,0
138,0.000184183
139,0.000171738
140,0.000220686
141,2.84E-05
142,3.96E-07
143,4.75E-06
144,3.19E-06
145,0
146,0.000211252
147,5.12E-05
148,5.93E-06
149,4.69E-05
150,0.000576457
151,4.15E-06
152,0
153,1.53E-05
154,0.00010615
155,0
156,0.001767502
157,0
158,0
159,2.97E-06
160,0
161,0
162,1.58E-06
163,0
164,0
165,2.58E-05
166,6.53E-06
167,0
168,0
169,2.97E-07
170,5.93E-07
171,0
172,2.37E-06
173,1.25E-05
174,0.000218112
175,5.93E-07
176,0
177,0.000210803
178,0
179,0.000189957
180,0
181,0.000690455
182,0.000400736
183,2.05E-05
184,0
185,0.000247102
186,0.000190335
187,9.23E-06
188,6.59E-05
189,9.81E-05
190,0
191,1.49E-05
192,1.24E-06
193,0.000155499
194,1.96E-05
195,8.25E-05
196,5.93E-07
197,0
198,1.47E-05
199,7.11E-05
200,6.96E-05
201,0.000107402
202,0.000146087
203,0
204,0.000509299
205,2.87E-05
206,5.54E-05
207,0.000729019
208,1.78E-06
209,0.000824357
210,0.000340086
211,0
212,0.000272495
213,2.43E-05
214,0
215,1.01E-05
216,9.84E-06
217,2.22E-06
218,2.97E-06
219,0.000674426
220,3.47E-05
221,0.000196003
222,0
223,0
224,0
225,1.42E-05
226,0
227,0.000141077
228,0
229,1.36E-05
230,6.94E-05
231,0
232,0
233,3.18E-05
234,0
235,0
236,3.26E-06
237,0
238,0
239,0
240,9.10E-08
241,0
242,0
243,9.20E-05
244,0
245,0
246,0.000159038
247,0
248,0
249,8.90E-07
250,0.000336476
251,0
252,1.48E-07
253,0.000209293
254,0.000187361
255,4.50E-05
256,1.25E-05
257,0
258,1.78E-06
259,0
260,0
261,1.82E-05
262,0.000230228
263,0.000268242
264,0
265,0
266,0
267,2.88E-06
268,0
269,0
270,7.72E-06
271,0
272,0
273,0
274,7.80E-05
275,0
276,1.54E-05
277,2.74E-06
278,1.34E-05
279,6.58E-06
280,4.00E-05
281,0
282,2.38E-05
283,1.78E-06
284,0
285,0
286,0
287,4.48E-05
288,0
289,0
290,0.000173268
291,0
292,0.00026178
293,0.000848091
294,0.000327318
295,0.006994397
296,0.000477465
297,6.28E-05
298,1.59E-05
299,0.000102652
300,1.52E-06
301,9.56E-05
302,1.45E-05
303,5.93E-07
304,4.01E-05
305,0
306,0.000299821
307,0.000636545
308,8.46E-06
309,0.00163643
310,0.000404734
311,4.15E-06
312,0
313,2.97E-07
314,0.000282795
315,0
316,5.44E-07
317,3.26E-06
318,5.02E-05
319,5.93E-07
320,0
321,7.25E-05
322,3.26E-06
323,5.42E-05
324,0.000325986
325,2.08E-05
326,0
327,1.28E-05
328,4.30E-05
329,0
330,7.71E-06
331,1.48E-06
332,5.04E-06
333,4.75E-06
334,0
335,0.000560749
336,0.00019154
337,4.44E-05
338,8.56E-05
339,1.54E-05
340,0
341,6.50E-05
342,1.68E-06
343,4.95E-05
344,7.71E-06
345,8.79E-05
346,1.27E-05
347,0
348,0.000151232
349,0.000134356
350,5.93E-07
351,0.000262169
352,4.45E-06
353,0
354,4.06E-05
355,1.78E-06
356,0.00016323
357,0
358,0
359,0
360,8.94E-06
361,0
362,0
363,1.81E-05
364,5.93E-07
365,0.000654386
366,0
367,0.000769317
368,0
369,5.34E-06
370,1.04E-06
371,0
372,0.00064286
373,0.00076019
374,0
375,1.34E-05
376,4.23E-05
377,8.90E-07
378,0.000447246
379,5.95E-05
380,0.000242256
381,0.000669845
382,8.28E-05
383,3.56E-06
384,0.000252488
385,0
386,8.91E-05
387,0.00075709
388,0
389,1.44E-05
390,0.00083457
391,0
392,2.97E-06
393,0.000524302
394,0.000108589
395,9.76E-06
396,4.95E-05
397,0.000833998
398,0
399,3.86E-05
400,3.80E-05
401,0
402,0.000408159
403,0.000693521
404,5.93E-07
405,0.0001166
406,0
407,5.75E-05
408,1.21E-05
409,0
410,1.54E-05
411,1.88E-05
412,0
413,0.000127866
414,2.34E-05
415,5.29E-05
416,2.67E-06
417,3.35E-05
418,0
419,0
420,0
421,0.000167037
422,0
423,1.23E-05
424,0
425,0.000294925
426,0.000605179
427,4.75E-06
428,8.04E-05
429,0
430,1.19E-06
431,7.41E-05
432,0.000240981
433,0.000342927
434,8.90E-07
435,2.37E-06
436,2.79E-07
437,0.000211838
438,1.52E-05
439,5.64E-06
440,1.69E-05
441,0
442,3.56E-06
443,8.60E-06
444,3.78E-06
445,0
446,0
447,0.000181575
448,3.59E-05
449,0
450,7.51E-05
451,6.23E-06
452,1.78E-06
453,0
454,0
455,0
456,0.000102444
457,0.00039874
458,0.000109683
459,0.000190304
460,0
461,4.14E-05
462,0.000194135
463,1.87E-05
464,2.09E-05
465,0
466,0
467,5.79E-06
468,1.48E-06
469,1.16E-05
470,0
471,5.93E-06
472,0
473,5.04E-06
474,0.000314469
475,0.000381153
476,1.26E-05
477,0.000130743
478,5.02E-06
479,1.10E-05
480,1.39E-05
481,1.32E-07
482,0.000179329
483,1.17E-05
484,0.000970873
485,8.90E-07
486,6.83E-05
487,5.47E-06
488,9.23E-06
489,6.42E-05
490,0
491,9.46E-06
492,0
493,0.000117765
494,8.90E-07
495,2.37E-06
496,8.90E-07
497,3.96E-06
498,8.28E-05
499,2.37E-06
500,1.19E-06
501,3.87E-05
502,3.89E-05
503,0.000250449
504,4.15E-06
505,1.48E-06
506,0
507,1.19E-06
508,4.75E-06
509,0
510,5.34E-06
511,1.35E-05
512,0
513,0.00012671
514,0.000169894
515,0
516,3.87E-05
517,4.17E-05
518,1.19E-06
519,0
520,5.85E-06
521,0
522,0
523,7.68E-05
524,0.000225647
525,0.000334514
526,5.55E-07
527,2.97E-06
528,0
529,9.76E-05
530,7.52E-06
531,0
532,0
533,0
534,0
535,9.57E-05
536,3.59E-05
537,9.97E-05
538,0
539,5.93E-07
540,6.10E-05
541,4.66E-05
542,0.000210674
543,6.63E-05
544,0
545,0.000374821
546,2.08E-06
547,0
548,0
549,1.01E-05
550,0
551,1.29E-06
552,6.87E-05
553,1.20E-05
554,0
555,0
556,0
557,0
558,0
559,0.000545133
560,0.000268965
561,9.35E-05
562,0
563,0
564,0
565,0.000482046
566,2.67E-06
567,0.000900812
568,0
569,0
570,4.01E-05
571,0.000153118
572,1.77E-05
573,2.81E-05
574,4.42E-05
575,0.000442881
576,0.000106177
577,0.000572234
578,1.19E-06
579,2.16E-05
580,0
581,0
582,0
583,0
584,0
585,6.82E-05
586,0.000123835
587,0
588,0.000137679
589,8.81E-07
590,0
591,8.62E-05
592,5.93E-07
593,0
594,1.88E-06
595,5.04E-06
596,0
597,0
598,0
599,2.28E-05
600,0
601,0
602,3.92E-05
603,0.000648162
604,1.55E-05
605,1.19E-07
606,4.54E-05
607,4.49E-06
608,0
609,4.44E-05
610,0
611,0
612,2.97E-07
613,8.68E-06
614,0.000612279
615,5.04E-06
616,0
617,0.001088267
618,2.34E-07
619,1.61E-05
620,0
621,2.25E-05
622,5.22E-05
623,1.28E-05
624,0
625,3.56E-06
626,0.000275292
627,0
628,0
629,1.96E-06
630,1.48E-06
631,6.68E-05
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0.000120763
640,0.000102774
641,5.34E-06
642,0.000337162
643,0
644,0
645,4.94E-07
646,0.000324917
647,6.61E-05
648,5.86E-05
649,1.69E-05
650,3.69E-05
651,0
652,0
653,0.000227785
654,0.000112513
655,0
656,0
657,2.97E-06
658,5.48E-05
659,0.000214859
660,0.000115775
661,0
662,0
663,1.24E-05
664,0
665,8.60E-06
666,1.37E-05
667,1.19E-06
668,0
669,0.00011562
670,0.000462004
671,0.000100489
672,4.15E-05
673,5.54E-05
674,2.73E-07
675,0.000631319
676,1.93E-05
677,1.19E-06
678,5.56E-06
679,0
680,2.49E-05
681,0.000306717
682,2.08E-06
683,2.37E-05
684,0.000657304
685,0.000890824
686,0.000983705
687,0.000120754
688,1.39E-05
689,0.000118483
690,3.87E-05
691,1.78E-06
692,1.48E-05
693,3.13E-08
694,1.10E-05
695,0.000166006
696,0.000933802
697,8.55E-05
698,3.09E-05
699,3.09E-05
700,0
701,8.01E-06
702,0.000383776
703,0
704,2.08E-06
705,0.00011273
706,4.45E-06
707,3.91E-05
708,0
709,0
710,6.65E-05
711,0
712,5.93E-07
713,0
714,0
715,0.000399462
716,8.90E-07
717,3.56E-06
718,0
719,0
720,0.000610321
721,0.000228247
722,5.11E-05
723,0.000338431
724,0
725,6.05E-05
726,2.61E-05
727,0
728,8.34E-05
729,0
730,0
731,0
732,1.84E-05
733,0
734,3.14E-05
735,0
736,8.90E-06
737,9.79E-05
738,0
739,0
740,0.000164832
741,0
742,0.000443892
743,1.69E-05
744,0
745,0
746,1.19E-06
747,5.93E-07
748,3.12E-05
749,0
750,3.75E-05
751,3.31E-06
